IssueId,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
662,Bug,Closed,Fixed,Store,Blocker,Person 395,2005/10/30 00:19:13 +0100,2005/10/30 00:19:13 +0100,Person 395,2005/11/23 05:01:31 +0100
665,Improvement,Closed,Fixed,Store,Minor,Person 404,2005/11/01 03:44:47 +0100,2006/01/24 05:54:07 +0100,Person 387,2006/01/29 09:07:46 +0100
675,Bug,Closed,Fixed,Build tools,Minor,Person 472,2005/11/03 09:12:20 +0100,2005/11/03 09:12:20 +0100,Person 472,2005/11/09 05:45:32 +0100
680,Bug,Closed,Fixed,Tools,Major,Person 413,2005/11/04 04:03:28 +0100,2005/11/04 04:03:28 +0100,Person 413,2007/01/23 20:39:48 +0100
682,Bug,Closed,Fixed,Test,Minor,Person 413,2005/11/05 09:59:50 +0100,2005/11/05 09:59:50 +0100,Person 413,2005/11/15 11:08:00 +0100
714,Bug,Closed,Fixed,SQL,Trivial,Person 379,2005/11/18 06:49:47 +0100,2005/11/18 06:49:47 +0100,Person 379,2005/11/19 07:58:59 +0100
718,Bug,Closed,Fixed,Network Client,Major,Person 388,2005/11/19 02:22:12 +0100,2005/11/19 02:22:12 +0100,Person 388,2005/11/25 07:17:50 +0100
728,Bug,Closed,Fixed,Network Client,Major,Person 426,2005/11/25 02:20:03 +0100,2010/03/12 21:03:15 +0100,Person 427,2010/11/09 15:54:29 +0100
733,Improvement,Closed,Fixed,Store,Major,Person 394,2005/12/01 02:02:52 +0100,2005/12/01 02:02:52 +0100,Person 394,2005/12/17 18:45:51 +0100
737,Improvement,Closed,Fixed,SQL,Minor,Person 393,2005/12/01 10:52:43 +0100,2006/10/12 04:12:08 +0100,Person 380,2006/10/16 22:44:06 +0100
744,Bug,Closed,Fixed,Build tools,Minor,Person 385,2005/12/07 08:19:17 +0100,2005/12/07 08:19:17 +0100,Person 385,2006/08/22 08:07:10 +0100
781,Improvement,Closed,Fixed,SQL,Major,Person 411,2005/12/23 13:15:30 +0100,2006/07/01 21:47:30 +0100,Person 472,2006/09/19 16:34:23 +0100
783,Improvement,Closed,Fixed,SQL,Major,Person 380,2005/12/23 18:12:48 +0100,2005/12/23 18:12:48 +0100,Person 380,2006/01/27 10:14:50 +0100
787,Bug,Closed,Fixed,SQL,Major,Person 406,2006/01/03 02:34:03 +0100,2006/03/16 22:29:12 +0100,Person 406,2006/04/11 18:10:50 +0100
801,Improvement,Closed,Fixed,Store,Major,Person 404,2006/01/09 20:43:30 +0100,2006/07/31 21:08:23 +0100,Person 417,2006/11/15 16:55:54 +0100
806,Improvement,Closed,Fixed,Store,Minor,Person 379,2006/01/10 09:06:40 +0100,2007/05/07 14:57:19 +0100,Person 395,2007/05/07 15:01:43 +0100
809,Bug,Closed,Fixed,Documentation; Javadoc,Minor,Person 422,2006/01/12 18:11:54 +0100,null,Unassigned,2006/03/14 07:25:15 +0100
822,Improvement,Closed,Fixed,Network Server,Minor,Person 394,2006/01/18 20:52:40 +0100,2006/01/18 20:52:40 +0100,Person 394,2006/04/18 14:55:26 +0100
856,Improvement,Closed,Fixed,JDBC,Minor,Person 412,2006/01/23 18:25:04 +0100,2006/01/23 18:27:38 +0100,Person 412,2006/02/04 01:53:24 +0100
857,Bug,Closed,Fixed,Services,Major,Person 379,2006/01/24 05:22:24 +0100,2007/10/16 01:32:27 +0100,Person 393,2007/10/19 22:01:03 +0100
861,Bug,Closed,Fixed,Test,Minor,Person 472,2006/01/24 10:52:57 +0100,2006/01/29 03:02:36 +0100,Person 395,2006/02/08 11:01:08 +0100
892,Bug,Closed,Fixed,Test,Minor,Person 383,2006/01/31 04:28:51 +0100,2006/05/24 12:32:25 +0100,Person 383,2006/06/15 03:09:51 +0100
903,Bug,Closed,Fixed,Test,Major,Person 379,2006/02/01 07:03:02 +0100,2006/02/09 10:03:58 +0100,Person 383,2006/04/28 03:19:23 +0100
904,Bug,Closed,Fixed,Test,Critical,Person 395,2006/02/01 10:47:23 +0100,2006/02/01 11:27:47 +0100,Person 401,2006/02/03 09:45:15 +0100
