issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
642,Bug,Closed,Fixed,C-6,Major,Person 58,2008/06/27 13:51:28 +0100,2008/07/02 10:43:53 +0100,Person 58,2008/07/04 09:32:51 +0100
652,Bug,Closed,Fixed,examples,Major,Person 58,2008/06/30 10:24:19 +0100,2008/06/30 10:24:19 +0100,Person 58,2008/06/30 12:51:26 +0100
653,Bug,Closed,Fixed,C-6,Major,Person 88,2008/06/30 13:57:16 +0100,2008/07/02 06:20:46 +0100,Person 71,2008/07/02 19:45:20 +0100
656,Improvement,Closed,Fixed,documentation,Major,Person 71,2008/07/02 05:17:32 +0100,2008/07/02 05:17:32 +0100,Person 71,2009/05/07 05:11:37 +0100
663,Improvement,Closed,Fixed,C-1; C-5,Major,Person 62,2008/07/03 20:19:32 +0100,2008/07/03 20:19:32 +0100,Person 62,2008/07/12 06:46:23 +0100
668,Improvement,Closed,Fixed,,Minor,Person 71,2008/07/04 13:19:09 +0100,2008/07/05 12:41:08 +0100,Person 71,2008/07/05 13:05:09 +0100
684,Improvement,Closed,Fixed,,Major,Person 65,2008/07/07 13:41:32 +0100,2008/07/07 13:41:32 +0100,Person 65,2008/07/07 15:12:42 +0100
686,Bug,Closed,Fixed,C-18,Major,Person 71,2008/07/08 12:05:57 +0100,2008/07/08 12:05:57 +0100,Person 58,2008/07/10 05:02:19 +0100
688,Bug,Closed,Fixed,,Major,Person 69,2008/07/10 04:22:28 +0100,2008/07/10 04:44:33 +0100,Person 58,2008/07/10 11:20:43 +0100
696,Bug,Closed,Fixed,C-1,Major,Person 71,2008/07/11 09:38:47 +0100,2008/07/11 09:38:47 +0100,Person 71,2008/07/11 12:20:31 +0100
697,Bug,Closed,Fixed,C-1,Major,Person 71,2008/07/11 09:53:15 +0100,2008/07/11 09:53:15 +0100,Person 71,2008/07/11 10:23:31 +0100
707,Bug,Closed,Fixed,C-1,Minor,Person 71,2008/07/12 07:29:31 +0100,2008/07/12 09:09:09 +0100,Person 71,2008/07/12 09:43:15 +0100
709,Improvement,Closed,Fixed,C-18,Major,Person 71,2008/07/12 15:30:53 +0100,2008/07/13 13:42:06 +0100,Person 58,2008/07/14 06:51:10 +0100
713,Bug,Closed,Fixed,C-1,Critical,Person 71,2008/07/13 12:50:01 +0100,2008/07/13 12:50:01 +0100,Person 71,2008/07/13 13:35:45 +0100
714,Improvement,Closed,Fixed,,Major,Person 71,2008/07/14 07:26:10 +0100,2009/03/31 13:51:01 +0100,Person 71,2009/04/02 14:29:45 +0100
721,Improvement,Closed,Fixed,C-1,Minor,Person 71,2008/07/15 07:56:17 +0100,2008/07/15 07:56:17 +0100,Person 71,2008/07/15 10:33:28 +0100
723,Improvement,Closed,Fixed,C-18,Major,Person 71,2008/07/15 12:04:34 +0100,2008/07/15 12:04:34 +0100,Person 58,2008/08/26 10:00:01 +0100
726,Bug,Closed,Fixed,C-18,Major,Person 89,2008/07/15 16:28:07 +0100,2008/07/16 07:13:32 +0100,Person 58,2008/07/24 04:13:36 +0100
727,Bug,Closed,Fixed,C-18,Major,Person 84,2008/07/15 19:35:03 +0100,2008/07/15 19:35:03 +0100,Person 58,2008/07/15 20:35:11 +0100
732,Improvement,Closed,Fixed,C-1,Minor,Person 71,2008/07/17 09:41:33 +0100,2008/07/17 09:41:33 +0100,Person 71,2008/07/17 12:47:39 +0100
737,Bug,Closed,Fixed,,Major,Person 90,2008/07/18 14:01:00 +0100,2008/07/18 19:13:29 +0100,Person 71,2008/07/18 19:26:24 +0100
738,Bug,Closed,Fixed,C-ftp,Major,Person 91,2008/07/20 02:50:50 +0100,2008/07/20 03:13:20 +0100,Person 58,2008/07/20 03:52:45 +0100
739,Improvement,Closed,Fixed,C-18,Major,Person 58,2008/07/21 09:36:38 +0100,2008/07/21 09:36:38 +0100,Person 58,2008/07/21 10:04:01 +0100
741,Bug,Closed,Fixed,C-18,Major,Person 58,2008/07/22 11:08:08 +0100,2008/07/22 11:08:08 +0100,Person 58,2008/07/24 04:12:35 +0100
747,Bug,Closed,Fixed,C-1,Major,Person 71,2008/07/23 20:17:01 +0100,2008/07/23 20:17:01 +0100,Person 71,2008/07/23 20:45:50 +0100
