issue_id,type,status,resolution,component,priority,reporter,created,assigned,assignee,resolved
709,Improvement,Resolved,Fixed,W,Minor,Person 578,2007/06/28 18:00:16 +0100,2007/06/28 18:54:38 +0100,Person 529,2007/06/28 19:59:26 +0100
716,Improvement,Resolved,Fixed,W; W-datetime; W-examples,Major,Person 531,2007/07/02 19:55:35 +0100,2007/07/02 19:55:35 +0100,Person 531,2007/07/02 20:41:09 +0100
726,Improvement,Resolved,Fixed,W,Major,Person 531,2007/07/06 20:11:28 +0100,2007/07/06 20:11:28 +0100,Person 531,2007/07/07 03:38:24 +0100
727,Improvement,Resolved,Fixed,W,Major,Person 533,2007/07/07 01:51:06 +0100,null,Unassigned,2007/07/07 02:11:21 +0100
728,Bug,Resolved,Fixed,,Major,Person 533,2007/07/07 06:59:44 +0100,2007/08/21 16:14:13 +0100,Person 527,2007/08/21 17:06:50 +0100
729,Bug,Resolved,Fixed,W,Major,Person 579,2007/07/07 14:06:29 +0100,2007/07/07 14:44:21 +0100,Person 580,2007/07/07 19:06:57 +0100
732,Improvement,Resolved,Fixed,W,Minor,Person 581,2007/07/09 02:18:38 +0100,2007/07/09 06:10:42 +0100,Person 522,2007/07/09 06:10:42 +0100
738,Bug,Resolved,Fixed,W,Minor,Person 582,2007/07/10 16:57:37 +0100,2007/07/11 22:36:19 +0100,Person 527,2007/07/11 22:36:19 +0100
748,Bug,Resolved,Fixed,W,Major,Person 583,2007/07/11 21:16:02 +0100,2007/07/13 01:36:09 +0100,Person 532,2007/08/02 17:28:00 +0100
754,Improvement,Closed,Fixed,W-datetime,Major,Person 571,2007/07/14 02:43:25 +0100,2007/07/18 17:20:57 +0100,Person 531,2007/07/30 06:27:48 +0100
761,Improvement,Closed,Fixed,W,Major,Person 529,2007/07/16 19:08:16 +0100,2007/07/16 19:08:16 +0100,Person 528,2007/08/15 23:15:55 +0100
765,Bug,Resolved,Fixed,,Critical,Person 529,2007/07/17 18:13:19 +0100,2007/07/17 18:13:19 +0100,Person 529,2007/07/23 21:18:46 +0100
782,Bug,Resolved,Fixed,W-extensions,Minor,Person 584,2007/07/24 18:35:01 +0100,2007/07/24 21:25:46 +0100,Person 529,2007/08/31 04:45:55 +0100
795,Improvement,Resolved,Fixed,W,Trivial,Person 585,2007/07/26 20:26:49 +0100,2007/09/07 08:17:49 +0100,Person 527,2007/09/24 21:30:27 +0100
796,Bug,Resolved,Fixed,W,Major,Person 529,2007/07/26 21:54:49 +0100,2007/08/01 21:45:24 +0100,Person 531,2007/09/16 23:57:37 +0100
805,Improvement,Resolved,Fixed,W,Minor,Person 586,2007/07/30 20:25:28 +0100,2007/07/31 16:54:04 +0100,Person 532,2007/08/01 09:56:53 +0100
807,Bug,Resolved,Fixed,W,Major,Person 587,2007/07/31 22:09:30 +0100,2007/08/21 17:14:12 +0100,Person 527,2007/08/21 17:30:21 +0100
823,Bug,Resolved,Fixed,W,Major,Person 588,2007/08/05 11:31:04 +0100,2007/08/05 12:46:12 +0100,Person 522,2007/08/05 12:53:55 +0100
824,Bug,Resolved,Fixed,W,Critical,Person 589,2007/08/06 00:51:12 +0100,2007/09/30 16:00:14 +0100,Person 557,2007/09/30 18:30:08 +0100
826,Bug,Resolved,Fixed,W-examples,Minor,Person 589,2007/08/06 08:19:59 +0100,2007/08/21 14:53:15 +0100,Person 532,2007/08/27 01:15:24 +0100
827,Bug,Resolved,Fixed,W,Major,Person 561,2007/08/06 21:11:36 +0100,2007/08/06 22:05:04 +0100,Person 522,2007/08/07 09:49:26 +0100
837,Improvement,Resolved,Fixed,W-quickstart,Trivial,Person 572,2007/08/11 11:34:17 +0100,null,Unassigned,2007/08/15 19:30:40 +0100
838,Bug,Resolved,Fixed,W,Major,Person 561,2007/08/12 01:50:17 +0100,null,Unassigned,2007/08/15 22:02:20 +0100
841,Bug,Resolved,Fixed,W,Major,Person 561,2007/08/13 03:27:43 +0100,2007/08/13 20:40:19 +0100,Person 522,2007/08/13 20:40:19 +0100
846,Bug,Resolved,Fixed,W,Minor,Person 561,2007/08/15 04:19:02 +0100,2007/08/21 14:45:14 +0100,Person 527,2007/08/21 14:45:14 +0100
859,Bug,Resolved,Fixed,W-datetime,Major,Person 531,2007/08/18 02:44:45 +0100,2007/08/18 02:44:45 +0100,Person 531,2007/08/18 02:45:09 +0100
861,Bug,Resolved,Fixed,W,Minor,Person 568,2007/08/18 17:05:51 +0100,2008/09/27 09:33:27 +0100,Person 529,2008/09/27 09:33:27 +0100
